Friend,Start date,End date,Start time,End time,Duration
1,8/16/17,8/17/17,0:00,0:00,24:00:00
2,8/16/17,8/17/17,0:00,0:00,24:00:00
3,8/16/17,8/17/17,0:00,0:00,24:00:00
4,8/17/17,8/18/17,0:00,0:00,24:00:00
5,8/17/17,8/18/17,0:00,0:00,24:00:00
6,8/17/17,8/18/17,0:00,0:00,24:00:00
7,8/17/17,8/18/17,0:00,0:00,24:00:00
8,8/17/17,8/18/17,0:00,0:00,24:00:00
9,8/18/17,8/19/17,0:00,0:00,24:00:00
10,8/18/17,8/19/17,0:00,0:00,24:00:00
11,8/20/17,8/21/17,0:00,0:00,24:00:00
12,8/20/17,8/21/17,0:00,0:00,24:00:00
13,8/22/17,8/23/17,0:00,0:00,24:00:00
14,8/22/17,8/23/17,0:00,0:00,24:00:00
15,8/22/17,8/23/17,0:00,0:00,24:00:00
16,8/23/17,8/24/17,0:00,0:00,24:00:00
17,8/23/17,8/24/17,0:00,0:00,24:00:00
18,8/23/17,8/24/17,0:00,0:00,24:00:00
19,8/24/17,8/25/17,0:00,0:00,24:00:00
20,8/24/17,8/25/17,0:00,0:00,24:00:00
21,8/24/17,8/25/17,0:00,0:00,24:00:00
22,8/24/17,8/25/17,0:00,0:00,24:00:00
23,8/25/17,8/26/17,0:00,0:00,24:00:00
24,8/26/17,8/27/17,0:00,0:00,24:00:00
25,8/26/17,8/27/17,0:00,0:00,24:00:00
26,8/27/17,8/28/17,0:00,0:00,24:00:00
27,8/27/17,8/28/17,0:00,0:00,24:00:00
28,8/28/17,8/29/17,0:00,0:00,24:00:00
29,8/28/17,8/29/17,0:00,0:00,24:00:00
30,8/29/17,8/30/17,0:00,0:00,24:00:00
31,8/29/17,8/30/17,0:00,0:00,24:00:00
32,8/30/17,8/31/17,0:00,0:00,24:00:00
33,8/30/17,8/31/17,0:00,0:00,24:00:00
34,8/31/17,9/1/17,0:00,0:00,24:00:00
35,8/31/17,9/1/17,0:00,0:00,24:00:00
36,9/1/17,9/2/17,0:00,0:00,24:00:00
37,9/2/17,9/3/17,0:00,0:00,24:00:00
38,9/2/17,9/3/17,0:00,0:00,24:00:00
39,9/3/17,9/4/17,0:00,0:00,24:00:00
40,9/3/17,9/4/17,0:00,0:00,24:00:00
41,9/3/17,9/4/17,0:00,0:00,24:00:00
42,9/3/17,9/4/17,0:00,0:00,24:00:00
43,9/5/17,9/6/17,0:00,0:00,24:00:00
44,9/6/17,9/7/17,0:00,0:00,24:00:00
45,9/7/17,9/8/17,0:00,0:00,24:00:00
46,9/9/17,9/10/17,0:00,0:00,24:00:00
47,9/9/17,9/10/17,0:00,0:00,24:00:00
48,9/9/17,9/10/17,0:00,0:00,24:00:00
49,9/9/17,9/10/17,0:00,0:00,24:00:00
50,9/9/17,9/10/17,0:00,0:00,24:00:00
51,9/10/17,9/11/17,0:00,0:00,24:00:00
52,9/10/17,9/11/17,0:00,0:00,24:00:00
53,9/10/17,9/11/17,0:00,0:00,24:00:00
54,9/11/17,9/12/17,0:00,0:00,24:00:00
55,9/11/17,9/12/17,0:00,0:00,24:00:00
56,9/11/17,9/12/17,0:00,0:00,24:00:00
57,9/11/17,9/12/17,0:00,0:00,24:00:00
58,9/13/17,9/14/17,0:00,0:00,24:00:00
